date,CA_1,CA_2,CA_3,CA_4
2011-04-20,6696.54,5537.75,9726.52,3796.24
2011-04-21,7665.0599999999995,5815.56,9405.4,3590.22
2011-04-22,9452.05,7030.91,11112.039999999999,4366.21
2011-04-23,12226.64,9638.49,13165.84,5532.19
2011-04-24,8946.23,8646.72,12859.0,3990.12
2011-04-25,6845.18,5884.82,9495.97,3355.09
2011-04-26,6158.45,5280.89,9497.77,3263.72
2011-04-27,6000.03,5405.2300000000005,8862.82,3266.97
2011-04-28,6222.37,5752.52,8266.53,3332.18
2011-04-29,8190.37,6783.28,9247.19,4343.09
2011-04-30,10582.54,9276.74,12364.52,4587.31
2011-05-01,10369.27,8948.66,12467.68,5095.9
2011-05-02,8208.210000000001,5841.98,11865.41,4183.42
2011-05-03,8065.92,5988.23,11759.34,4537.02
2011-05-04,7386.85,5448.36,10549.08,3852.77
2011-05-05,6408.13,5771.82,9468.95,3754.44
2011-05-06,8817.63,6742.14,11259.34,4328.8
2011-05-07,10607.1,7904.96,12629.02,4275.1
2011-05-08,8997.65,7717.91,11745.960000000001,3950.04
2011-05-09,9031.62,6173.11,12416.4,4794.9
2011-05-10,7746.52,5779.38,10930.57,4510.71
2011-05-11,7389.64,5659.02,10308.06,4354.93
2011-05-12,6365.48,6024.32,10357.72,3929.19
2011-05-13,8633.17,6787.51,11300.5,4619.29
2011-05-14,11066.05,9758.79,11959.01,4599.07
2011-05-15,11331.99,9498.94,13607.74,5234.12
2011-05-16,7376.92,5666.89,10446.35,3916.13
2011-05-17,6410.46,5580.94,9620.88,3541.55
2011-05-18,6305.24,5342.36,8776.85,3801.07
2011-05-19,6283.1,5754.32,9150.86,3460.05
2011-05-20,7712.63,6945.47,9919.79,4138.07
2011-05-21,9840.08,8519.79,12520.01,4587.79
2011-05-22,10275.18,7850.24,12636.3,4895.24
2011-05-23,7102.25,5633.71,10127.87,4399.7300000000005
2011-05-24,5967.01,4914.58,9242.94,3834.72
2011-05-25,6023.82,5860.88,9166.19,3904.11
2011-05-26,6476.9800000000005,6089.03,9376.36,3968.56
2011-05-27,7629.32,6898.58,9770.56,4331.68
2011-05-28,9389.62,7613.64,10911.77,4074.03
2011-05-29,9543.55,7246.74,11090.47,4107.68
2011-05-30,8698.94,7379.42,11759.78,4493.63
2011-05-31,6288.03,5554.14,9556.11,3843.25
2011-06-01,7615.88,5438.34,11305.4,3787.62
2011-06-02,7533.21,5758.57,10854.8,3874.44
2011-06-03,9376.68,6398.58,12645.93,4431.69
2011-06-04,11791.85,8374.8,14692.43,5082.24
2011-06-05,11363.81,8973.77,15220.83,4986.8
2011-06-06,9217.19,5872.75,12662.1,4664.81
2011-06-07,8093.26,6160.48,12255.83,4238.47
2011-06-08,7690.96,6118.6,11969.67,3749.39
2011-06-09,7537.13,6148.56,10820.13,3739.53
2011-06-10,9757.75,7538.35,12492.21,4481.7300000000005
2011-06-11,10387.86,8640.35,12720.08,4876.32
2011-06-12,10716.1,9172.69,14654.32,4913.59
2011-06-13,8943.69,6584.08,12023.710000000001,4338.2
2011-06-14,7772.91,6333.96,11098.210000000001,3922.89
2011-06-15,7439.2300000000005,6330.64,11553.97,4173.66
2011-06-16,7385.1,6812.06,10782.710000000001,3894.15
2011-06-17,8718.8,7045.2300000000005,11326.04,3947.02
2011-06-18,10779.91,8346.43,12507.99,4629.41
2011-06-19,8746.64,7827.85,12869.79,4165.39
2011-06-20,7908.54,6985.94,12319.34,4411.09
2011-06-21,8014.56,6226.11,11222.64,2303.9
2011-06-22,6962.53,6232.37,11432.69,3884.64
2011-06-23,8014.77,6733.46,10785.95,4439.02
2011-06-24,8637.69,7263.16,11518.17,4394.9
2011-06-25,9331.62,8621.86,12089.64,4152.74
2011-06-26,10677.98,8866.5,13537.4,4409.01
2011-06-27,7976.21,6215.26,10660.79,4463.93
2011-06-28,6343.63,4914.91,9204.42,4006.46
2011-06-29,6444.22,6146.37,9694.41,3401.14
2011-06-30,7374.63,6425.37,10230.52,3971.18
2011-07-01,10873.94,8158.81,13687.86,4750.31
2011-07-02,11889.39,9355.94,15251.58,5058.68
2011-07-03,10798.74,7963.1,13567.04,4643.7300000000005
2011-07-04,7405.67,6983.4,11289.74,4174.8
2011-07-05,9043.65,7016.22,13769.72,4673.51
2011-07-06,9126.16,6784.58,13364.09,4591.44
2011-07-07,9310.35,6959.91,13966.32,4213.92
2011-07-08,9589.89,8197.34,13773.33,5174.31
2011-07-09,11858.95,9166.99,15528.28,4582.62
2011-07-10,12977.57,9310.210000000001,15754.49,5028.55
2011-07-11,8344.87,6684.16,13017.74,4311.02
2011-07-12,6634.84,5804.85,11417.97,4013.6
2011-07-13,7438.39,6375.14,10531.29,3981.96
2011-07-14,7455.63,6658.44,10917.6,4051.56
2011-07-15,8581.96,7299.53,11785.11,4355.29
2011-07-16,10705.14,9823.15,13741.79,4914.06
2011-07-17,11077.25,9154.92,15344.05,5185.62
2011-07-18,8274.61,6634.58,12002.6,4487.83
2011-07-19,6929.68,6082.24,10543.22,3892.3
2011-07-20,7072.9,6089.9800000000005,10807.17,4181.37
2011-07-21,7671.96,6536.25,10827.36,4154.24
2011-07-22,8964.03,7633.44,12326.97,4059.21
2011-07-23,10679.09,9387.55,14403.79,4589.27
2011-07-24,10604.67,9281.56,14438.57,4692.83
2011-07-25,8188.89,6338.08,11092.93,4122.89
2011-07-26,6779.46,5869.85,10208.630000000001,4083.04
2011-07-27,6934.41,6425.07,9909.8,3803.03
2011-07-28,7125.14,6212.31,10282.52,3937.31
2011-07-29,8702.79,7758.25,11303.76,4157.93
2011-07-30,9046.15,9507.85,13942.05,4942.5
2011-07-31,10102.3,8795.22,14960.11,5026.4800000000005
2011-08-01,8416.95,6692.52,13396.12,4561.16
2011-08-02,8365.25,6230.33,13026.39,4316.47
2011-08-03,8469.28,6594.47,12903.3,4080.9
2011-08-04,8703.92,6002.06,11945.04,3744.89
2011-08-05,9877.53,7269.81,12010.69,4181.47
2011-08-06,10633.51,8980.5,13759.44,4652.96
2011-08-07,11778.28,8873.75,16484.35,4984.28
2011-08-08,9203.07,5993.91,13553.74,4142.69
2011-08-09,8035.14,6100.95,13297.8,4209.35
2011-08-10,8235.29,6444.79,14400.24,3906.33
2011-08-11,8079.72,6510.12,11380.18,4350.08
2011-08-12,9134.72,7711.59,12730.93,4817.76
2011-08-13,11899.55,9371.38,14851.51,5160.74
2011-08-14,11823.12,9668.7,16535.22,5601.51
2011-08-15,8241.47,6893.5,13617.12,4763.4
2011-08-16,7419.21,6462.86,12899.33,4089.69
2011-08-17,7406.22,6309.02,11271.11,4542.54
2011-08-18,7413.74,6617.17,10523.08,4224.62
2011-08-19,8305.12,6858.59,11785.78,4172.4
2011-08-20,10730.25,9434.14,15170.57,4915.43
2011-08-21,13176.9,10111.2,16794.35,5862.23
2011-08-22,7830.3,6229.24,13800.27,4565.74
2011-08-23,6717.61,6428.27,11536.01,4048.7400000000002
2011-08-24,6866.56,6052.0,11211.43,4241.06
2011-08-25,6952.91,5941.17,10470.03,4184.39
2011-08-26,8283.88,7213.44,11297.73,4341.78
2011-08-27,10671.16,9949.52,13905.27,4839.56
2011-08-28,10746.75,9632.51,14603.06,5738.57
2011-08-29,6790.31,6373.86,11043.46,4410.06
2011-08-30,5792.86,5713.08,10297.35,3673.89
2011-08-31,6393.03,6005.5,9753.04,3901.26
2011-09-01,7582.42,6346.59,12047.52,4562.54
2011-09-02,9349.8,7016.48,13219.04,4509.11
2011-09-03,11095.07,9149.63,14562.22,5628.43
2011-09-04,10261.58,8319.66,14782.2,4472.67
2011-09-05,9981.73,8920.88,15118.53,5288.77
2011-09-06,8497.81,6339.03,14491.1,4606.02
2011-09-07,7709.29,5856.92,13964.27,4138.84
2011-09-08,8236.06,6350.07,12848.66,4403.1
2011-09-09,9326.27,6652.58,14281.22,4636.9
2011-09-10,11409.36,9874.18,16320.47,5346.11
2011-09-11,12457.39,9553.09,17764.03,5894.68
2011-09-12,8341.74,6191.54,12393.37,4893.38
2011-09-13,6834.94,5681.58,11636.98,4238.33
2011-09-14,6071.7300000000005,6374.35,11136.25,3888.4
2011-09-15,7096.07,6483.32,11140.12,4436.0
2011-09-16,8525.73,7228.8,12824.55,4821.42
2011-09-17,10380.9,9760.22,14622.45,5408.77
2011-09-18,10898.88,10103.6,16845.86,6259.35
2011-09-19,7704.8,6173.51,13376.16,4970.62
2011-09-20,7367.37,6140.87,11839.3,4558.79
2011-09-21,6662.51,6567.23,11876.12,4163.06
2011-09-22,6430.97,6118.19,11120.3,4205.16
2011-09-23,9518.08,7622.94,12193.59,5140.92
2011-09-24,11527.69,10735.76,15061.17,5314.26
2011-09-25,11565.13,10087.49,16578.68,6119.29
2011-09-26,7916.47,5982.54,12118.77,4911.7
2011-09-27,6588.88,5971.13,11944.24,4431.27
2011-09-28,6517.36,5567.03,11268.68,4001.1
2011-09-29,6416.43,5761.65,10065.39,4276.26
2011-09-30,9357.87,7711.44,11796.59,4948.08
2011-10-01,13266.18,10983.52,17763.36,6152.53
2011-10-02,13317.31,9799.15,17619.68,6858.37
2011-10-03,8987.93,5964.38,15006.42,5133.61
2011-10-04,8491.23,6071.64,14432.21,4668.64
2011-10-05,7717.75,5906.79,12756.28,4629.15
2011-10-06,7575.92,5778.35,12899.39,4525.52
2011-10-07,9105.17,7627.82,13755.17,4948.66
2011-10-08,11632.83,9681.82,16664.35,5967.72
2011-10-09,12639.69,9528.73,19140.74,5699.29
2011-10-10,9612.13,6990.58,15913.49,5208.76
2011-10-11,7323.93,6185.76,13107.84,4276.27
2011-10-12,7102.47,6405.56,12300.62,4404.62
2011-10-13,7291.8,5955.76,11755.49,4808.02
2011-10-14,9100.93,7855.29,13795.98,5165.29
2011-10-15,11571.53,10419.07,17256.27,5764.35
2011-10-16,11706.41,9861.48,18157.17,6393.15
2011-10-17,7727.9800000000005,6386.15,14926.74,5329.58
2011-10-18,6560.76,5729.62,12155.18,4477.6
2011-10-19,6541.89,5863.79,11441.64,4246.6
2011-10-20,6742.14,6141.87,10936.32,4187.96
2011-10-21,8979.87,7947.6,12158.93,4710.05
2011-10-22,11038.3,10118.68,16525.5,5426.32
2011-10-23,11892.73,9219.17,16517.8,5888.77
2011-10-24,7798.74,6132.83,12877.57,4754.86
2011-10-25,6989.09,5835.52,11495.56,4010.49
2011-10-26,6332.88,5914.88,10610.09,4169.52
2011-10-27,7112.36,6440.22,11043.33,4111.45
2011-10-28,8261.57,7550.38,11574.460000000001,4569.41
2011-10-29,11303.75,9953.24,16018.66,6210.18
2011-10-30,11523.02,10521.93,16575.71,6340.33
2011-10-31,6392.39,5670.69,11027.02,4454.09
2011-11-01,7199.55,5534.92,12373.99,4227.36
2011-11-02,7706.43,5510.67,12208.83,4228.0
2011-11-03,7970.35,6175.67,13001.2,4443.04
2011-11-04,9873.34,6886.59,14496.62,4802.17
2011-11-05,11986.12,10040.3,15892.54,5582.76
2011-11-06,12820.15,10073.61,19141.9,6932.97
2011-11-07,8751.74,6208.54,14430.04,5063.18
2011-11-08,8480.02,5827.64,13386.130000000001,4155.86
2011-11-09,7316.83,5861.96,12926.74,4843.18
2011-11-10,8530.37,6464.77,13142.83,4339.55
2011-11-11,10220.07,7841.07,13459.08,4867.06
2011-11-12,10597.77,9963.04,14955.62,5649.03
2011-11-13,11094.710000000001,9599.13,16616.95,5454.02
2011-11-14,7854.18,6186.66,12824.19,4786.0
2011-11-15,7290.63,5701.12,11855.4,4539.37
2011-11-16,6644.18,5713.46,11587.39,4529.49
2011-11-17,6381.6,5723.54,11058.19,4347.38
2011-11-18,7904.99,6984.33,12843.39,4653.46
2011-11-19,12209.77,10162.12,16260.74,5466.85
2011-11-20,11764.85,9567.960000000001,16556.62,5699.03
2011-11-21,8990.76,6498.51,12952.01,5070.3
2011-11-22,9307.03,6156.67,12503.94,4327.15
2011-11-23,9256.130000000001,6868.44,13910.6,5290.34
2011-11-24,4813.66,3021.38,8353.99,2843.33
2011-11-25,7551.12,7265.23,10150.99,3281.55
2011-11-26,8263.93,8379.42,11676.71,4409.76
2011-11-27,8879.52,8007.31,13162.130000000001,5125.4800000000005
2011-11-28,6856.87,6258.23,11025.0,4873.38
2011-11-29,6359.4800000000005,5708.17,10245.07,4231.08
2011-11-30,6161.96,5723.27,9672.33,3716.51
2011-12-01,6877.27,6115.01,12243.0,4374.29
2011-12-02,9036.57,7241.44,13426.09,5378.84
2011-12-03,12251.57,10485.5,15936.65,6086.7
2011-12-04,12771.19,9644.92,18237.73,6395.14
2011-12-05,9739.42,6504.97,15251.44,4939.36
2011-12-06,7803.32,5912.72,13743.6,4915.26
2011-12-07,7423.65,5866.63,12755.52,4895.68
2011-12-08,8928.93,6268.91,13153.25,4472.7300000000005
2011-12-09,9261.86,7386.18,13607.41,4870.69
2011-12-10,12452.07,9881.7,17112.81,5359.45
2011-12-11,11484.51,9743.51,17240.57,6682.47
2011-12-12,8643.8,6375.92,14854.15,5241.43
2011-12-13,7803.05,6315.24,13085.84,4303.39
2011-12-14,7881.59,6446.9800000000005,11908.43,4065.19
2011-12-15,8541.31,7007.76,12673.7,4590.55
2011-12-16,9184.81,7297.25,13040.61,5153.23
2011-12-17,11665.2,9660.03,15132.66,5496.43
2011-12-18,11747.45,10126.29,15863.43,6270.78
2011-12-19,8910.66,7115.46,13558.09,5062.87
2011-12-20,8574.19,7331.27,12407.67,5045.01
2011-12-21,9050.15,7881.31,11926.91,4667.9
2011-12-22,9697.72,7638.84,12844.67,5085.94
2011-12-23,11730.17,9093.28,15210.77,6046.37
2011-12-24,8867.210000000001,6710.5199999999995,12154.12,5090.85
2011-12-25,0.0,10.059999999999999,0.82,0.0
2011-12-26,8918.39,7858.89,14194.92,3892.79
2011-12-27,7924.89,6775.76,12368.55,4423.92
2011-12-28,8058.45,6404.68,12444.2,4592.74
2011-12-29,8840.94,6834.89,12666.39,4379.21
2011-12-30,11981.04,8440.89,15911.130000000001,5083.56
2011-12-31,11171.960000000001,7277.55,14216.19,5626.22
2012-01-01,6986.03,6232.99,10870.72,3839.56
2012-01-02,11013.95,8919.93,16789.27,5732.32
2012-01-03,9352.61,6068.01,13911.44,4832.63
2012-01-04,8403.57,5531.74,13003.23,3990.4
2012-01-05,9172.19,6091.92,13368.95,4915.87
2012-01-06,9710.96,7114.87,12883.53,4994.54
2012-01-07,12521.35,9198.31,17425.96,6298.61
2012-01-08,12913.94,9931.61,19642.36,6534.04
2012-01-09,9750.79,6459.4,15329.97,5366.65
2012-01-10,8402.89,5807.26,14565.94,4490.17
2012-01-11,7324.9800000000005,5978.21,12363.9,4900.69
2012-01-12,6717.2300000000005,5818.28,11084.89,4432.21
2012-01-13,9557.94,7231.15,13912.210000000001,5150.03
2012-01-14,11470.25,10041.78,16011.49,5938.96
2012-01-15,11317.63,9555.95,16521.97,6842.34
2012-01-16,10200.47,7992.32,15140.47,6056.08
2012-01-17,7580.61,5568.61,11236.0,4329.7300000000005
2012-01-18,7164.4800000000005,6263.2,12477.09,5043.5
2012-01-19,7247.56,5865.9,11447.56,4401.92
2012-01-20,8696.19,7286.67,12912.1,4973.4800000000005
2012-01-21,14027.0,11890.55,18344.21,7187.03
2012-01-22,10950.81,8072.78,15898.8,5922.14
2012-01-23,7324.4,6066.43,12955.36,5017.2
2012-01-24,6957.52,6233.43,12820.86,4483.81
2012-01-25,6546.47,5850.93,11568.960000000001,4486.1
2012-01-26,6956.16,6120.37,10526.07,4503.38
2012-01-27,9005.2,7277.47,12328.19,5073.63
2012-01-28,11288.05,10752.31,14174.92,6325.62
2012-01-29,11752.37,10778.64,16934.170000000002,6254.82
2012-01-30,8133.07,6055.96,13683.37,5165.7300000000005
2012-01-31,7874.8,6506.65,13534.5,4912.56
2012-02-01,8620.59,6581.41,14913.89,5471.25
2012-02-02,9288.78,6322.81,14742.09,5456.28
2012-02-03,11488.3,8119.2,16357.01,5777.6
2012-02-04,16006.36,12308.82,21125.82,7707.64
2012-02-05,13261.18,9652.58,19396.13,6676.32
2012-02-06,10069.28,6629.55,16916.77,5511.72
2012-02-07,8609.24,6387.27,15981.25,5152.32
2012-02-08,8503.23,6182.96,15208.07,5211.96
2012-02-09,8837.77,6440.03,15217.22,4854.87
2012-02-10,9974.81,7981.96,16644.28,5722.55
2012-02-11,15318.56,11982.76,21251.87,6510.45
2012-02-12,14840.1,11498.2,20362.62,7061.8
2012-02-13,10597.13,7194.01,16573.31,5924.47
2012-02-14,6939.44,5376.26,12355.54,4316.93
2012-02-15,7366.74,5971.02,13192.41,4328.4
2012-02-16,7822.54,6430.2,12348.22,4696.21
2012-02-17,10008.32,8112.43,15078.36,5329.87
2012-02-18,12787.67,11309.75,18603.12,6276.02
2012-02-19,13388.41,10357.39,18180.32,6251.34
2012-02-20,10457.01,8551.05,18451.15,5639.79
2012-02-21,7731.38,5475.91,14920.27,4911.58
2012-02-22,7728.38,6637.11,12452.95,4494.21
2012-02-23,7659.63,6945.76,12678.99,4728.08
2012-02-24,9542.69,8063.54,15240.64,4903.16
2012-02-25,13302.76,10452.47,16906.86,5851.25
2012-02-26,12617.12,9825.2,18514.86,6088.58
2012-02-27,8498.01,6238.83,14259.01,5088.58
2012-02-28,7860.05,5708.28,12058.17,4684.17
2012-02-29,7620.7300000000005,6459.67,12258.55,4635.41
2012-03-01,9448.87,7054.77,15429.04,4940.22
2012-03-02,10337.33,8599.09,16584.45,5421.41
2012-03-03,14037.57,11752.83,20191.31,6351.7
2012-03-04,14507.93,10862.23,22396.97,6989.75
2012-03-05,10990.8,6938.37,17860.61,5605.47
2012-03-06,9543.23,6658.01,16213.390000000001,5793.8
2012-03-07,9553.22,6794.49,15873.45,5633.37
2012-03-08,9557.710000000001,6937.77,15689.130000000001,5125.72
2012-03-09,10728.710000000001,8333.09,16792.32,5525.81
2012-03-10,15072.460000000001,11693.42,19691.21,6614.47
2012-03-11,15292.15,11793.89,21260.94,7728.59
2012-03-12,9991.78,7084.4800000000005,17612.64,5407.65
2012-03-13,7937.610000000001,5922.6,14860.89,4798.57
2012-03-14,7897.87,6054.14,13400.99,4440.84
2012-03-15,8756.85,7037.06,13659.73,5104.28
2012-03-16,10170.58,6969.49,13921.48,5320.39
2012-03-17,13431.74,12326.36,18618.170000000002,6625.47
2012-03-18,14229.23,11156.47,19121.420000000002,6078.15
2012-03-19,9968.34,7471.22,14353.81,5460.61
2012-03-20,8223.67,6268.32,13619.43,4775.42
2012-03-21,7319.9800000000005,6165.26,13707.18,5073.52
2012-03-22,8325.64,6644.86,12967.82,4828.64
2012-03-23,9159.48,7839.32,13460.56,5217.46
2012-03-24,13669.69,10745.57,16768.98,6237.99
2012-03-25,14541.03,10803.28,20182.81,6884.35
2012-03-26,9213.5,7031.84,15006.05,5613.27
2012-03-27,7763.09,5928.36,11340.78,4577.2300000000005
2012-03-28,7865.56,6870.95,12488.19,5369.36
2012-03-29,7292.67,6767.67,11794.07,4765.61
2012-03-30,11695.48,8139.1900000000005,14969.37,5312.31
2012-03-31,13622.79,11219.84,17298.21,7176.92
2012-04-01,14866.0,11021.07,19203.44,7015.05
2012-04-02,10278.54,7332.46,16813.23,5567.6900000000005
2012-04-03,10559.22,7335.9400000000005,16702.09,5327.19
2012-04-04,9742.44,6875.18,14389.17,5379.97
2012-04-05,10902.54,7172.09,14747.11,5415.46
2012-04-06,13556.54,8321.74,16369.19,5885.29
2012-04-07,15784.7,11985.11,20945.54,7673.74
2012-04-08,10620.18,10721.59,18341.89,5751.29
2012-04-09,11233.43,7160.06,16422.87,5613.12
2012-04-10,10281.27,5937.28,15105.16,4893.89
2012-04-11,8993.16,7237.6,14117.52,4944.21
2012-04-12,8801.17,6868.03,12845.68,4520.78
2012-04-13,10306.3,8776.95,14098.29,5261.24
2012-04-14,13982.89,10913.28,16863.85,6338.09
2012-04-15,13642.02,10630.710000000001,16573.43,6419.09
2012-04-16,8948.59,7086.0,13767.34,5268.55
2012-04-17,7736.86,6096.95,13273.9,4379.92
2012-04-18,7769.24,6975.56,12471.25,5031.36
2012-04-19,8561.93,6469.34,12148.61,4845.13
2012-04-20,10639.710000000001,7993.52,13595.05,5294.57
2012-04-21,13587.41,10852.69,17095.23,5856.09
2012-04-22,14054.17,10969.12,18007.52,6765.79
2012-04-23,8418.16,7067.88,13490.83,5373.89
2012-04-24,8575.23,6565.2300000000005,12029.65,5314.54
2012-04-25,7955.43,6177.43,11453.09,4491.67
2012-04-26,8427.47,6495.7300000000005,11224.37,4867.17
2012-04-27,10541.75,8203.26,13179.89,5637.5
2012-04-28,12853.31,10404.210000000001,15137.460000000001,5540.89
2012-04-29,13805.15,10819.05,17199.47,6297.42
2012-04-30,9314.15,7098.03,12868.11,5842.74
2012-05-01,10164.210000000001,7271.0,14314.35,5056.21
2012-05-02,9267.39,6885.08,13850.32,4512.61
2012-05-03,10380.39,7238.39,14937.02,5850.86
2012-05-04,11205.1,8520.36,14800.5,5404.76
2012-05-05,12120.77,10898.79,16206.33,6196.44
2012-05-06,15085.3,11857.0,17577.64,6827.78
2012-05-07,12077.37,7503.61,17813.75,5654.8
2012-05-08,9774.51,7245.17,15935.86,5808.69
2012-05-09,9812.6,7120.93,14432.91,5207.04
2012-05-10,10430.460000000001,7121.18,13741.65,5040.84
2012-05-11,11437.78,8504.09,14450.35,5675.56
2012-05-12,15544.7,10439.51,17753.63,5885.54
2012-05-13,12287.01,9134.61,14269.12,4886.79
2012-05-14,9284.73,6683.69,14809.49,5414.97
2012-05-15,9949.27,6964.16,14366.81,5777.4800000000005
2012-05-16,9392.55,7283.71,12982.15,5255.27
2012-05-17,9173.66,6992.35,12676.89,4866.45
2012-05-18,10926.48,8424.74,14427.16,5953.72
2012-05-19,13396.7,11330.68,17155.25,5942.09
2012-05-20,15538.94,11069.51,18063.98,7080.47
2012-05-21,10235.1,6183.1900000000005,15000.460000000001,5739.17
2012-05-22,7690.87,7453.82,14010.48,4739.74
2012-05-23,8217.59,6838.68,12439.68,4682.93
2012-05-24,9109.17,6870.63,12425.12,5103.1900000000005
2012-05-25,11706.51,8383.16,14424.32,5561.63
2012-05-26,12770.3,10102.81,15403.24,5904.54
2012-05-27,12817.29,9394.04,15091.52,4616.4800000000005
2012-05-28,11595.15,9758.44,15388.7,5832.68
2012-05-29,8616.59,7228.56,13273.09,5823.76
2012-05-30,8150.4400000000005,6499.99,13552.37,4938.4
2012-05-31,9363.57,7730.78,13349.06,5799.24
2012-06-01,12526.89,9410.52,17103.87,5870.19
2012-06-02,15429.35,11632.28,19026.38,6854.03
2012-06-03,15005.61,11317.13,19615.55,7810.46
2012-06-04,11643.67,7460.36,16611.71,5664.68
2012-06-05,10570.98,7669.38,16318.36,5555.2
2012-06-06,9933.52,6856.02,15317.15,5302.28
2012-06-07,10264.78,7426.88,15771.37,5613.77
2012-06-08,11774.25,9156.62,16153.32,5903.91
2012-06-09,14007.14,10274.59,18910.86,6403.84
2012-06-10,14679.34,11366.41,19724.99,7094.37
2012-06-11,11557.960000000001,8360.31,17579.19,6473.24
2012-06-12,10213.93,8029.85,14922.95,5211.19
2012-06-13,9595.9,7909.99,14009.6,5318.28
2012-06-14,10346.04,8086.04,14517.61,5517.85
2012-06-15,12875.94,9542.01,16152.53,6147.54
2012-06-16,14548.92,11295.81,18200.75,7162.2300000000005
2012-06-17,12402.91,10466.62,17248.46,5787.12
